collision_id,crash_datetime,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_two-wheel_veh,number_of_normal_veh,number_of_large_veh,number_of_unknown_veh,total_number_of_vehicles,contributing_factors
3656871,2017-04-23 10:50:00,BROOKLYN,11230,40.61688,-73.954735,OCEAN AVENUE,BAY AVENUE,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unspecified']
3657456,2017-04-25 00:00:00,BROOKLYN,11249,,,WILLIAMSBURG STREET EAST,KENT AVENUE,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Failure to Yield Right-of-Way' 'Unspecified']
3662521,2017-04-28 12:15:00,,,40.831776,-73.82097,LAFAYETTE AVENUE,,,2,0,0,0,0,0,2,0,0,0,0,2,2,['Unspecified']
3652951,2017-04-16 04:27:00,,,40.72048,-73.780106,GRAND CENTRAL PKWY,,,0,1,0,0,0,0,0,1,0,1,0,0,1,['Unsafe Speed']
3653008,2017-04-18 13:02:00,,,40.73319,-73.866875,LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Following Too Closely' 'Unspecified']
3662149,2017-05-01 11:08:00,BROOKLYN,11219,40.640877,-73.99576,,,1025      45 STREET,0,0,0,0,0,0,0,0,0,1,1,0,2,['Driver Inattention/Distraction' 'Unspecified']
3665165,2017-05-07 18:27:00,,,40.704807,-74.01495,BATTERY PLACE,,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Passing Too Closely' 'Driver Inattention/Distraction']
3665832,2017-05-03 19:15:00,STATEN ISLAND,10309,40.528225,-74.23938,ARTHUR KILL ROAD,ALLENTOWN LANE,,1,0,0,0,0,0,1,0,1,1,0,0,2,['Failure to Yield Right-of-Way' 'Unspecified']
3664121,2017-05-05 08:33:00,,,40.80719,-73.92431,EAST 135 STREET,,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Passing Too Closely' 'Unspecified']
3663933,2017-05-05 13:20:00,,,,,69 ROAD,GRAND CENTRAL PARKWAY,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Unsafe Speed' 'Unspecified']
3665805,2017-05-07 10:45:00,,,40.606846,-73.7571,MCBRIDE STREET,,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Driverless/Runaway Vehicle' 'Unspecified']
3664928,2017-05-02 16:30:00,BROOKLYN,11229,40.60356,-73.95022,,,1950      EAST 22 STREET,0,0,0,0,0,0,0,0,0,3,0,0,3,['Driver Inattention/Distraction' 'Unspecified']
4157842,2019-06-24 07:30:00,,,,,BEACH 100 STREET,SHORE FRONT PARKWAY,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Driver Inattention/Distraction' 'Unspecified']
3658606,2017-04-27 16:30:00,,,40.74701,-73.977196,3 AVENUE,,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Driver Inattention/Distraction']
3847917,2018-02-16 09:55:00,MANHATTAN,10019,,,WEST 57 STREET,12 AVENUE,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Unspecified']
3656117,2017-04-24 00:00:00,QUEENS,11412,40.704277,-73.74986,112 AVENUE,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3666629,2017-05-09 19:20:00,,,40.719723,-73.975,FDR DRIVE RAMP,,,1,0,0,0,0,0,1,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unspecified']
