tree_id,created_at,block_id,tree_dbh,stump_diam,is_OnCurb,health,spc_common,steward,guards,sidewalk_damaged,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,latitude,longitude,is_dead,is_stump
182258,2015-08-28,104487,4,0,1,2.0,Sophora,1.0,Helpful,1.0,Volunteer,WiresRope,0,0,0,1,0,0,0,0,0,151 WEST 28 STREET,10001,New York,105,1,Manhattan,3,75,27,MN17,Midtown-Midtown South,1009500,40.74704875655648,-73.99280742985778,0,0
171562,2015-08-24,406536,3,0,1,2.0,sweetgum,1.0,Helpful,1.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,438 LIBERTY AVENUE,10305,Staten Island,502,5,Staten Island,50,64,24,SI36,Old Town-Dongan Hills-South Beach,5011201,40.58357807565156,-74.08816077683572,0,0
153582,2015-08-17,230993,6,0,1,2.0,Sophora,0.0,None,0.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,250 ARGYLE ROAD,11218,Brooklyn,314,3,Brooklyn,40,44,17,BK42,Flatbush,3152200,40.64313217412675,-73.96674313708033,0,0
182387,2015-08-28,223035,21,0,1,2.0,Sophora,1.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,515 10 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,Park Slope-Gowanus,3015100,40.66664325654747,-73.98269482333325,0,0
165941,2015-08-22,309676,8,0,1,1.0,Sophora,1.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,84-030 88 STREET,11421,Woodhaven,409,4,Queens,32,38,15,QN53,Woodhaven,4001400,40.69600763061474,-73.85730313457496,0,0
203207,2015-09-04,303555,6,0,1,1.0,Sophora,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,34-002 QUEENS BOULEVARD,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4017900,40.744296175226765,-73.93064686284218,0,0
194085,2015-09-01,106731,13,0,1,2.0,Sophora,1.0,Harmful,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,300 WEST 94 STREET,10025,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1017900,40.79402050116742,-73.97446102791906,0,0
179350,2015-08-27,229989,7,0,1,2.0,Sophora,0.0,None,1.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,1223 AVENUE J,11230,Brooklyn,314,3,Brooklyn,44,48,17,BK43,Midwood,3053000,40.62501519226842,-73.96340402705194,0,0
198195,2015-09-02,310806,3,0,1,2.0,Sophora,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,57-007 PARSONS BOULEVARD,11365,Fresh Meadows,407,4,Queens,20,25,16,QN62,Queensboro Hill,4121500,40.74194207544866,-73.81005460602867,0,0
174231,2015-08-25,217278,10,0,1,2.0,Sophora,0.0,None,0.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,147 MANHATTAN AVENUE,11206,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3050500,40.708018155502806,-73.94508787194152,0,0
183791,2015-08-29,410517,13,0,1,2.0,sweetgum,1.0,None,0.0,TreesCount Staff,"Stones,BranchLights",1,0,0,0,0,0,1,0,0,97 ALLEN PLACE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017600,40.52600127808297,-74.1674653447432,0,0
162754,2015-08-20,503115,1,0,1,2.0,Norway maple,1.0,Harmful,1.0,TreesCount Staff,"Stones,BranchLights",1,0,0,0,0,0,1,0,0,978 WOODYCREST AVENUE,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2018900,40.83201884714369,-73.92839249754685,0,0
163289,2015-08-20,301486,9,0,1,0.0,Norway maple,1.0,Harmful,1.0,Volunteer,"Stones,BranchLights",1,0,0,0,0,0,1,0,0,21-028 49 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4013500,40.77010496637987,-73.89883707734337,0,0
140593,2015-08-12,302283,13,0,1,2.0,Norway maple,0.0,None,0.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,20-029 28 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4011100,40.78033312872911,-73.9086008878777,0,0
172196,2015-08-24,210367,12,0,1,0.0,Norway maple,0.0,None,1.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,2612 FILLMORE AVENUE,11229,Brooklyn,315,3,Brooklyn,46,41,22,BK44,Madison,3063800,40.6068076062418,-73.94007692047211,0,0
159860,2015-08-19,302360,11,0,1,2.0,Norway maple,0.0,None,1.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,21-059 SHORE BOULEVARD,11105,Astoria,401,4,Queens,22,36,12,QN72,Steinway,4010300,40.78288705721976,-73.91894210366294,0,0
173614,2015-08-25,102898,7,0,1,0.0,Norway maple,0.0,None,0.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,164 SUFFOLK STREET,10002,New York,103,1,Manhattan,2,74,26,MN27,Chinatown,1003001,40.72058607650066,-73.98520399419073,0,0
178312,2015-08-26,308755,21,0,1,1.0,Norway maple,0.0,None,1.0,Volunteer,None,0,0,0,0,0,0,0,0,0,74-024 88 AVENUE,11421,Woodhaven,409,4,Queens,30,38,12,QN53,Woodhaven,4000400,40.68919765215941,-73.86677694286294,0,0
175786,2015-08-26,341460,9,0,1,2.0,Norway maple,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,73-001 32 AVENUE,11370,East Elmhurst,403,4,Queens,25,34,13,QN28,Jackson Heights,4030902,40.756981336788115,-73.89408742363432,0,0
167233,2015-08-22,310389,17,0,1,1.0,Norway maple,0.0,None,1.0,Volunteer,None,0,0,0,0,0,0,0,0,0,83-039 TALBOT STREET,11415,Kew Gardens,409,4,Queens,29,27,14,QN60,Kew Gardens,4013800,40.70888304804651,-73.82786478016297,0,0
188257,2015-08-30,340790,21,0,1,2.0,Norway maple,0.0,None,1.0,Volunteer,RootOther,0,0,1,0,0,0,0,0,0,35-013 76 STREET,11372,Jackson Heights,403,4,Queens,25,39,13,QN28,Jackson Heights,4028700,40.75071921172073,-73.8901236637565,0,0
